ClefClient,NomClient,PrenomClient,NumeroCarteClient,VilleClient,SexeClient,Age,RevenusFoyer
25,Wilson,Paul,f73da287-ddf7-4a65-a363-1c13a2710546,East Richard,Homme,58,75700
26,Vega,Brian,39e03cae-aaf1-44fb-b7e7-56c27c11b62c,Port Amber,Homme,58,45519
27,Castro,Anthony,e40040fa-7290-494c-af58-4e68ce5040fe,Carriestad,Femme,50,99274
28,Hodge,Gerald,fa54ac40-6d11-4216-ad9d-727fc5a3f896,East Aaronburgh,Femme,31,38909
29,Larson,Valerie,00ceba5b-35f9-4dfc-b0c7-26a258c23a20,Lisatown,Femme,25,68216
30,White,Julie,2180cec2-7f40-427a-8fc2-40f8bc53ef74,Erikaton,Homme,20,82295
31,Johnson,Ashlee,023af40e-3c97-43d4-a8db-c10695e90fa2,Hopkinsville,Homme,50,87990
32,Oconnor,Jessica,5ff9fb1f-2aa6-4a8d-bc11-d7fe0c41edbc,East Anthonyhaven,Homme,56,79930
33,Moody,Benjamin,39ee61c7-4934-49e2-a7d6-a510c015f665,Lake Brian,Femme,22,25949
34,Garcia,Kenneth,40dc432f-6e5c-4770-83c5-fc1c156daca7,Donnafort,Homme,47,59008
35,Wright,Steven,e75e8de8-01e8-4ec5-9746-a39f78d0a554,Port Meredithport,Femme,27,80048
36,Salazar,Vanessa,f0531633-680e-46d5-b1fe-c8d958311b50,New Ryantown,Homme,30,42573
37,Livingston,Amanda,07d99beb-e87b-4f05-87bf-186378d8fc97,New Philipview,Homme,60,46336
38,Brooks,Christopher,c8c03f16-2aa6-4403-a42b-a6df827cb634,Stevenview,Homme,31,36007
39,Booker,Sandra,9f8186d2-5284-4a0e-9d02-b5261ca347fc,Chambersland,Homme,52,32458
40,Wade,Jennifer,d6ce9549-a1e2-4ab7-8511-5af16a90a947,East Debra,Femme,48,75039
41,Patrick,Chad,3104bcb5-b4a1-413f-980c-e081ba4124b5,West Connie,Homme,66,44161
42,Hunt,Julia,d649d60a-944a-4fba-9b63-b455e422d781,Lake Brentberg,Homme,19,81627
43,Armstrong,Anthony,e0a48079-b886-4bc3-bc57-9ed7717afc5d,Lake Victoria,Femme,40,54976
44,Hayes,Jeffrey,0ac3c53b-839a-4ebd-babb-bae86a5cd4d5,East Lorraineland,Homme,54,54095
45,Neal,Isaiah,c204a864-cd9f-47d6-be91-b53b245a33f5,Johnburgh,Femme,69,57577
46,Wilson,Christine,dfb68664-5779-4528-88f8-d4f7fad4ed8a,Jonesshire,Homme,57,53350
47,Edwards,Sara,f2b97b61-df5c-4d1f-bb00-b034e1fe8fe4,South Matthewhaven,Homme,23,21392
48,Johnson,Krystal,c1854135-23c5-45f0-b2ac-4db39e47c748,Washingtonburgh,Femme,39,73482
49,Armstrong,Emily,3d45e8da-5c9f-47b4-ab19-caf7e898919f,Myersville,Homme,50,21848
50,Hall,Michael,6d501dce-0ba7-458d-925c-459dc6e41277,South Leslie,Femme,26,51047
51,Carter,Beverly,a43bbffa-607a-4cb8-9d9f-917b842eb62f,Joneston,Femme,34,36119
52,Gomez,Kyle,8510df33-5e57-474c-bb82-03c760fdf94e,Brownview,Femme,37,69071
53,Flores,Emily,5476b81d-65d3-4333-8d44-d4ccd6e53b86,Jasonside,Homme,63,27253
54,Kaufman,Michael,ace8e45e-1910-4527-a5eb-44d8ebc0bf07,New Jessicahaven,Homme,41,32082
55,Hicks,Patrick,b2258b9e-685f-4c13-9c93-921d804a103d,Lake William,Femme,18,96172
56,Young,Donald,148276a6-3e6e-4e5e-aa0d-d9b024137625,Heathermouth,Femme,53,77572
57,Williams,Angela,b65d034f-0505-4793-a196-3790a764aa39,South Nathan,Homme,53,60064
58,Kim,David,30e56357-9072-4c3e-a0ae-35b0c4840994,North Jamesborough,Femme,36,30754
59,Khan,Andrew,6ddf82ef-0ef9-493b-a68d-e3b5b85e71bc,Richardbury,Homme,34,98520
60,Jones,Stephanie,01b6320c-818d-4426-92a7-81dd1605638d,New Valerieberg,Homme,22,30608
61,Mckinney,Michelle,65a97135-ebcc-4f40-b738-b6f9e42f1bff,West Laura,Homme,56,60545
62,Robinson,Angelica,32ce10d8-1a97-4dff-a022-da7c6b5e5713,Kellyfurt,Femme,32,23470
63,Young,Katelyn,db77cc94-6b65-4a13-86fe-bd29b2b59212,North Dennisview,Homme,29,29299
64,Reynolds,Emily,4a40a870-63b1-4530-92eb-46edb3687687,West Elizabethshire,Femme,29,56584
65,Gomez,Ronald,3ccd4341-f570-42ff-b1e6-fb9263e07421,West Deborahfurt,Femme,43,49807
66,Evans,Kelly,2aac8d1f-4da0-4b85-92d0-03a856663ef0,Dawntown,Femme,48,86964
67,Allen,Mason,9216914e-7a9b-4fc9-a5bc-8432677d51ba,Markchester,Femme,41,71143
68,Roy,Gregory,fc13962a-052e-43b5-924e-c9551c7dab09,South Michael,Homme,18,50284
69,Hale,Karen,28291f90-58ec-49b1-9371-572f8989eb7c,Devonborough,Homme,66,88184
70,Davenport,Gregory,78590b1f-3a46-4b5d-9ec1-2d93979c5785,Paulberg,Femme,31,42895
71,Johnson,Tara,0655872c-44c7-4e7a-831a-d9aee66d94d6,Lake Rose,Homme,52,73459
72,Alexander,Brian,77b468d8-cec2-40db-8884-9f79d996e53a,Howardfurt,Femme,61,41962
73,Jacobson,Catherine,91b25f50-8d8d-4f13-80b3-45053ba0f74d,Lake Kenneth,Homme,33,68613
74,Young,David,af787c57-80ec-44be-98ba-372d7d074809,Hillborough,Femme,58,92665
75,Jacobs,Angela,4ac65239-1293-4167-b85f-e0f44f858523,Jessicaland,Homme,67,76320
76,Campbell,Kimberly,36928d0e-4b99-4f67-bea2-511f893cf673,Aliciachester,Femme,27,38758
77,Thomas,Brandon,85fca85f-1765-4dd3-8425-9b346e2237d4,Autumnmouth,Femme,42,36141
78,Armstrong,Jennifer,d56e0626-582f-4325-835d-568eeca0e9be,Christineland,Femme,58,94438
79,Bell,Mark,358316f4-d785-4a9d-9f28-076c206224c5,South Joshua,Femme,40,48894
80,Hansen,Taylor,23e32398-8171-4cf6-b704-6bf4b0dece7d,West Andrewberg,Homme,52,30765
81,Martin,Matthew,6cb82598-5009-4d56-b809-ae76a78efdaa,Port Scott,Femme,40,73084
82,Bryant,Adrian,6ed2d5ec-4e4e-4693-8eb4-e0edc6b06691,Barnesview,Homme,52,88455
83,Russell,Adam,5fe1cc08-7f07-4662-b035-7e7d671df8fd,Hallfort,Homme,25,53302
84,Adams,Cheryl,3d0775f7-ac6b-42fe-b909-51fb3be14efc,Paulfort,Homme,47,63876
85,Snow,Cameron,3f0b71ce-620c-4ec8-a916-d73ea84b0a8d,Emilybury,Femme,34,57650
86,Lee,David,63c84645-b93f-4548-8b7b-e57b3ee4f13d,South Kimberly,Femme,33,31237
87,Brown,Jeffrey,94f09487-f24d-40ed-a6af-4c2d105157ef,South Brandonstad,Femme,65,39902
88,Brown,Christina,2f235fad-dcd7-4b1a-b644-9652f5d6074d,Robertston,Homme,25,65038
89,Brown,Laurie,eb745ab3-429a-4dd7-9179-79bf571124ed,Nicholasmouth,Homme,35,32107
90,Miller,Adam,88e8a2f9-de3f-4f5a-8479-4dc43b8fcdec,Alanmouth,Femme,36,37076
91,Morgan,Katrina,591bde7d-f453-4d08-b18f-8fa7db42d832,Ortizfurt,Femme,56,81146
92,Anthony,Maria,4cefa5fe-2c81-47a7-9d38-3a61c85100e6,Port Jenniferberg,Femme,60,20810
93,Cortez,Matthew,d9d7fd3d-bce3-4652-b876-04ad2fa4bd79,Port Sandramouth,Homme,26,81928
94,Rojas,Savannah,32d0e25d-ef12-45d3-a7a3-f20ba15c9bc3,West Timothy,Homme,44,65918
95,Smith,Timothy,8801fa2d-6cb9-4156-8e29-663250080509,New Andrealand,Homme,28,50967
96,Gilbert,Jimmy,1d8c430e-e326-4c1a-84c9-e04b14ddfa43,Lewishaven,Femme,30,60331
97,Cook,Mark,85eeb79d-6e25-49a9-9868-aa3142a48b44,Mariestad,Homme,27,52357
98,Williams,Madison,dc25e2c9-5f3d-4158-9b28-a3780179d8a6,North Sean,Femme,44,71807
99,Levy,Taylor,d4dcaa2a-75b2-466b-a506-102407761c6f,Denisefurt,Homme,38,68140
100,Crawford,Larry,95e46e3d-784d-4ae1-af2b-da55035ffa31,Carpentermouth,Femme,58,26272
